mean_intensity,std_intensity,entropy,sharpness,contrast
31.01340103149414,52.263925035493884,3.8697333335876465,857.5884547894821,1.6852045663234358
36.66765213012695,52.627806957221246,4.3809099197387695,605.8392957918695,1.4352652515207287
23.032928466796875,44.129200322593455,3.03013277053833,1039.9028396508074,1.915917916656057
45.464820861816406,60.534725897345986,4.463202476501465,1055.4089621730236,1.3314629806049896
36.372283935546875,63.49990832903882,3.102073907852173,1242.386192599646,1.7458323057623537
50.4550666809082,63.081523002788444,4.584619522094727,1131.6462893757125,1.250251504011152
40.00894546508789,68.44471849034838,3.131136417388916,1264.5445552196904,1.7107353791684852
18.80107879638672,43.805536870145836,2.746250629425049,1194.0321884155273,2.3299480495004676
26.805946350097656,50.26501781286212,2.937283992767334,1142.8857876276597,1.8751443115038167
25.86722183227539,52.56551964359613,2.928488254547119,1311.2722053527682,2.0321285364324817
